name,full_name,modality,tasks,num_samples,size_gb,license,license_family,download_type,download_url,geography,scanner_device,age_range,sex_distribution,ethnicity,num_patients
eye_disease_image_mendeley,Eye Disease Image Dataset,fundus,classification,5335.0,1.5,CC BY 4.0,cc-by,mendeley,https://data.mendeley.com/datasets/s9bfhswzjb/1,,,,,,
farfum_rop,FARFUM-ROP: Fundus Annotation Repository for Retinopathy of Prematurity,fundus,classification,1533.0,1.0,CC BY 4.0,cc-by,figshare,https://doi.org/10.6084/m9.figshare.c.6721269,Iran (Tehran — multi-centre NICU),RetCam (wide-field neonatal fundus camera),Neonatal/premature infants (gestational 24–36 weeks),not reported,Iranian,1533.0
fimd,Fundus Image Myopia Development Dataset,fundus,registration|regression,70.0,0.2,CC BY 4.0,cc-by,mendeley,https://data.mendeley.com/datasets/jkzsh6pcv4/1,,,,,,
fiqs,FIQS: Fundus Image Quality Scores Dataset,fundus,quality|grading|regression,2246.0,9.07,CC BY 4.0,cc-by,figshare,https://doi.org/10.6084/m9.figshare.28129847.v1,,,,,,
fives,FIVES: Fundus Image Vessel Segmentation,fundus,segmentation,800.0,1.1,CC BY 4.0,cc-by,figshare,https://doi.org/10.6084/m9.figshare.19688169,China (Beijing Tongren Hospital),"Canon CX-1, 30° digital non-mydriatic fundus camera",18–90 years,not reported,Chinese,800.0
fundus_avseg,Fundus-AVSeg: Artery-Vein-Crossing Segmentation,fundus,segmentation,100.0,0.5,CC BY 4.0,cc-by,figshare,https://doi.org/10.6084/m9.figshare.27938034,,,,,,
fundus_domain_generalization,Fundus Dataset for Domain Generalization in Optic Disc/Cup Segmentation,fundus,segmentation,,0.62,CC BY 4.0,cc-by,zenodo,https://zenodo.org/records/8009107,,,,,,
g1020,G1020: Glaucoma Benchmark Fundus Dataset,fundus,classification,1020.0,2.0,CC BY 4.0,cc-by,kaggle,https://arxiv.org/abs/2006.09158,Pakistan (Islamabad),Nikon and Topcon fundus cameras (details in paper),not reported,not reported,South Asian (Pakistani),1020.0
harvard_glaucoma,Harvard Glaucoma Fundus Image Dataset,fundus,classification,1000.0,1.5,CC0 1.0 (Public Domain),cc0,direct,https://doi.org/10.7910/DVN/1YRRAC,USA (Harvard/Massachusetts Eye and Ear),"Various (Zeiss Clarus, Optos, Topcon — mixed fleet)",not reported,not reported,not reported,1000.0
hpmi,HPMI: High & Pathological Myopia Identification,fundus,classification,4011.0,2.0,CC BY 4.0,cc-by,figshare,https://doi.org/10.6084/m9.figshare.24800232,,,,,,
hrf,HRF: High-Resolution Fundus Image Database,fundus,segmentation,45.0,0.5,CC BY 4.0,cc-by,manual,https://www5.cs.fau.de/research/data/fundus-images/,"Germany (Erlangen, FAU)","Canon CR-1 Mark II (45° FOV, 3504×2336 px)",not reported,not reported,not reported,45.0
hrf_seg_plus,HRF-Seg+: Multi-Structure Fundus Annotations,fundus,segmentation,45.0,0.01,CC BY 4.0,cc-by,zenodo,https://zenodo.org/records/16744782,,,,,,
hygd,HYGD: Hillel Yaffe Glaucoma Dataset,fundus,classification,747.0,1.0,ODC-BY 1.0 (Open Data Commons Attribution),odc-by,physionet,https://doi.org/10.13026/pdxv-m215,,,,,,
idrid,IDRiD: Indian Diabetic Retinopathy Image Dataset,fundus,grading|classification|segmentation,516.0,2.5,CC BY 4.0,cc-by,manual,https://ieee-dataport.org/open-access/indian-diabetic-retinopathy-image-dataset-idrid,"India (Nanded, Maharashtra — Shri Ganesha Vinayak Eye Institute)","Kowa VX-10α (50° digital non-mydriatic, 4752×3168 px)",not reported (diabetic patients),not reported,South Asian (Indian),516.0
