record_id,canonical_name,modalities,download_type,selection,estimated_size_gb,existing_file_count,existing_recognized,route_check_result,acquisition_status,transfer_started,downloaded_file_count,downloaded_size_bytes,load_status,load_split,loaded_sample_count,sample_path_exists,image_decode_status,scratch_cleanup_status,record_completed
aroma_octa,AROMA Retinal OCTA Artifact Dataset,octa,zenodo,excluded_known_platform,1.011,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
as_oct_keratitis,AS-OCT Keratitis Segmentation Dataset,oct,figshare,eligible_download,1.5,0,False,not_applicable,completed,True,4691,10270933114,not_implemented,all,,,not_applicable,removed,True
bajwa_multi_eye,Bajwa Hospital Multi Eye Disease Dataset,fundus,mendeley,excluded_known_platform,0.2,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
beh,BEH: Bangladesh Eye Hospital Glaucoma Dataset,fundus,gdrive,route_check_only,0.3,0,False,passed_landing_page,not_run_route_check_only,False,,,not_run,,,,,,True
belo,BELO Benchmark for Evaluating Language Models in Ophthalmology,text,manual,preflight_blocked,,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
bidr,BiDR: Diabetic Retinopathy Diagnosis Dataset,fundus,kaggle,excluded_known_platform,1.0,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
birdshot_wide,Birdshot-WIDE Widefield Fundus Dataset,uwf_fundus,manual,preflight_blocked,,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
bmrd,Bangladesh Multi-Disease Retinal Dataset,fundus,mendeley,excluded_known_platform,,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
brset,BRSET: Brazilian Multilabel Ophthalmological Dataset,fundus,physionet,preflight_blocked,9.0,1,True,not_applicable,not_run_excluded_or_blocked,False,,,not_implemented,all,,,not_applicable,,True
brset_mbrset_embeddings,Embedding-Based Representations for BRSET and mBRSET,tabular,physionet,preflight_blocked,,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
cadis,CaDIS: Cataract Dataset for Image Segmentation,surgical_video,manual,excluded_surgical_video,15.0,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
casia_iris_v4,CASIA-IrisV4 Iris Image Database,iris_biometrics,manual,preflight_blocked,1.86,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
cataract,Cataract Fundus Classification Dataset,fundus,kaggle,excluded_known_platform,0.1,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
cataract101_extended_labels,Cataract-101 Extended Labels,surgical_video,zenodo,excluded_surgical_video,0.01,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
cataract1k,Cataract-1K: Large-Scale Cataract Surgery Video Dataset,surgical_video,manual,excluded_surgical_video,50.0,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
cataract_101,Cataract-101: 101 Cataract Surgery Videos with Phase Annotations,surgical_video,manual,excluded_surgical_video,25.0,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
cataract_lmm,Cataract-LMM: Large-Scale Multi-Source Multi-Task Cataract Surgery Benchmark,surgical_video,huggingface,excluded_surgical_video,200.0,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
