record_id,dataset_doi,source_version,expected_file_count,expected_bytes,inspection_level,complete_deposit_downloaded_for_structure_review,acquired_file_count_after_extraction,acquired_bytes_after_extraction,file_extension_counts_json,local_files_retained
dryad_mouse_oct_beam_tilt,10.5061/dryad.95x69p8th,3,2,4704522143,complete_official_file_listing,False,,,"{"".md"": 1, "".zip"": 1}",False
dryad_mouse_pupil_masking_retinal_deg,10.5061/dryad.9kd51c5g5,2,3,52159706,complete_official_file_listing,False,,,"{"".pzf"": 3}",False
dryad_myopia_glaucoma_visual_field,10.5061/dryad.1n50q,1,1,77824,complete_official_file_listing,False,,,"{"".xls"": 1}",False
dryad_namd_12_year_survival,10.5061/dryad.nvx0k6dqg,5,4,20325759,complete_official_file_listing,False,,,"{"".csv"": 1, "".docx"": 1, "".r"": 1, "".rtf"": 1}",False
dryad_namd_oct_longitudinal,10.5061/dryad.8cz8w9h0v,11,2,15711999,complete_official_file_listing,False,,,"{"".csv"": 1, "".md"": 1}",False
dryad_namd_oct_quant,10.5061/dryad.2rbnzs7m4,6,2,707701,complete_official_file_listing,False,,,"{"".csv"": 1, "".txt"": 1}",False
dryad_namd_ten_year_survival,10.5061/dryad.9cnp5hqfm,11,4,1045599,complete_official_file_listing,False,,,"{"".csv"": 1, "".r"": 2, "".rtf"": 1}",False
dryad_namd_visual_prediction,10.5061/dryad.573n5tb5d,4,3,1498898,complete_official_file_listing,False,,,"{"".csv"": 1, "".r"": 1, "".rtf"": 1}",False
dryad_nhp_trachoma_immunity,10.5061/dryad.69p8cz982,3,2,1715551877,complete_official_file_listing,False,,,"{"".md"": 1, "".zip"": 1}",False
dryad_nigeria_cataract_services,10.5061/dryad.13bp2,1,2,418304,complete_official_file_listing,False,,,"{"".doc"": 1, "".xls"": 1}",False
dryad_ocular_chemical_injuries_shanghai,10.5061/dryad.9707661,3,1,25035,complete_official_file_listing,False,,,"{"".xlsx"": 1}",False
dryad_ocular_gvhd_mouse,10.5061/dryad.k6djh9w8z,5,2,119708,complete_official_file_listing,False,,,"{"".txt"": 1, "".xlsx"": 1}",False
dryad_ocular_surface_amr,10.5061/dryad.6t1g1jx9s,7,3,12880,complete_official_file_listing,False,,,"{"".csv"": 2, "".md"": 1}",False
