record_id,canonical_name,provider,official_source_url,dataset_identifier,catalog_deposit_version,observed_deposit_version,version_matches_catalog,listing_result,expected_file_count,expected_bytes,file_index,file_path,file_bytes,mime_type,source_checksum_type,source_checksum_available,source_status,notes
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,206,RuSerial,18,text/plain,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,207,eventdata.gz,462,application/gzip,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,208,imudata.gz,1794395,application/gzip,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,209,snap0.jpg,119116,image/jpeg,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,210,gazedata.gz,848099,application/gzip,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,211,._meta,4096,application/octet-stream,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,212,recording.g3,1017,application/json,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,213,scenevideo.mp4,166628692,video/mp4,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,214,RuVersion,18,text/plain,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,215,participant,17,application/json,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,216,HuSerial,18,text/plain,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,217,RuSerial,18,text/plain,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
ocular_generalized_myasthenia_korea,Ocular and Generalized Myasthenia Gravis Korea Dataset,figshare,https://doi.org/10.6084/m9.figshare.31981347.v1,31981347,1,1,True,official_file_listing_confirmed,1,254627,1,data (Figshare).xlsx,254627,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
parkinsons_directional_oct,Parkinson Disease Directional OCT Dataset,figshare,https://doi.org/10.26188/30750011.v1,30750011,1,1,True,official_file_listing_confirmed,1,36154,1,Processed thickness and reflectance data.xlsx,36154,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
parkinsons_outer_retinal_structure,Parkinson Disease Outer Retinal Structure and Function Dataset,figshare,https://doi.org/10.26188/24138420.v2,24138420,2,2,True,official_file_listing_confirmed,2,68367,1,Tran 2023 Human PD Retina Paper Dataset.xlsx,31884,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
parkinsons_outer_retinal_structure,Parkinson Disease Outer Retinal Structure and Function Dataset,figshare,https://doi.org/10.26188/24138420.v2,24138420,2,2,True,official_file_listing_confirmed,2,68367,2,Tran 2023 Human PD Retina Paper Dataset V2 Revised.xlsx,36483,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
pimd_visual_preference_eye_tracking,PIMD Visual Preference Eye-Tracking Dataset,figshare,https://doi.org/10.1371/journal.pone.0266176.s010,19598133,1,1,True,official_file_listing_confirmed,1,238066,1,pone.0266176.s010.xlsx,238066,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
pupillometry_eeg_fmri_salience,"Pupillometry, EEG, and fMRI Salience Dataset",figshare,https://doi.org/10.6084/m9.figshare.22518010.v1,22518010,1,1,True,official_file_listing_confirmed,1,3856978616,1,Data_and_Demo.zip,3856978616,application/zip,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
rao_fundus,RAO Retinal Artery Occlusion Fundus Photography Dataset,mendeley,https://data.mendeley.com/datasets/5428684j44/2,5428684j44,2,2,True,official_archive_route_confirmed,,65899640,,,,,,,,"The current version-specific Download All route returned an official ZIP archive. Internal files will be enumerated during content inspection. The bearer-token response reflects the retired OAuth audience, not source unavailability."
retinal_oct_octa_two_subjects_processed,Processed Retinal OCT and OCTA Two-Subject Dataset,kaggle,https://www.kaggle.com/datasets/cnzakimuena/retinal-oct-and-octa-data-3,cnzakimuena/retinal-oct-and-octa-data-3,,,True,official_file_listing_confirmed,50,13970739052,1,processed/subject1/Results/3mmx3mm_20180831130749_OS/ETDRS_grid/2DregionsETDRS.mat,14925,,,False,repository_file,Official Kaggle client file listing reviewed. The listing endpoint does not expose a stable deposit-version identifier.
retinal_oct_octa_two_subjects_processed,Processed Retinal OCT and OCTA Two-Subject Dataset,kaggle,https://www.kaggle.com/datasets/cnzakimuena/retinal-oct-and-octa-data-3,cnzakimuena/retinal-oct-and-octa-data-3,,,True,official_file_listing_confirmed,50,13970739052,2,processed/subject1/Results/3mmx3mm_20180831130749_OS/ETDRS_grid/3DregionsETDRS.mat,8762650,,,False,repository_file,Official Kaggle client file listing reviewed. The listing endpoint does not expose a stable deposit-version identifier.
retinal_oct_octa_two_subjects_processed,Processed Retinal OCT and OCTA Two-Subject Dataset,kaggle,https://www.kaggle.com/datasets/cnzakimuena/retinal-oct-and-octa-data-3,cnzakimuena/retinal-oct-and-octa-data-3,,,True,official_file_listing_confirmed,50,13970739052,3,processed/subject1/Results/3mmx3mm_20180831130749_OS/scanInfo.mat,209,,,False,repository_file,Official Kaggle client file listing reviewed. The listing endpoint does not expose a stable deposit-version identifier.
retinal_oct_octa_two_subjects_processed,Processed Retinal OCT and OCTA Two-Subject Dataset,kaggle,https://www.kaggle.com/datasets/cnzakimuena/retinal-oct-and-octa-data-3,cnzakimuena/retinal-oct-and-octa-data-3,,,True,official_file_listing_confirmed,50,13970739052,4,processed/subject1/Results/3mmx3mm_20180831130749_OS/segmentation.mat,908742663,,,False,repository_file,Official Kaggle client file listing reviewed. The listing endpoint does not expose a stable deposit-version identifier.
retinal_oct_octa_two_subjects_processed,Processed Retinal OCT and OCTA Two-Subject Dataset,kaggle,https://www.kaggle.com/datasets/cnzakimuena/retinal-oct-and-octa-data-3,cnzakimuena/retinal-oct-and-octa-data-3,,,True,official_file_listing_confirmed,50,13970739052,5,processed/subject1/Results/3mmx3mm_20180831130749_OS/segmentationAlligned.mat,429584103,,,False,repository_file,Official Kaggle client file listing reviewed. The listing endpoint does not expose a stable deposit-version identifier.
retinal_oct_octa_two_subjects_processed,Processed Retinal OCT and OCTA Two-Subject Dataset,kaggle,https://www.kaggle.com/datasets/cnzakimuena/retinal-oct-and-octa-data-3,cnzakimuena/retinal-oct-and-octa-data-3,,,True,official_file_listing_confirmed,50,13970739052,6,processed/subject1/Results/3mmx3mm_20180831130922_OS/ETDRS_grid/2DregionsETDRS.mat,14912,,,False,repository_file,Official Kaggle client file listing reviewed. The listing endpoint does not expose a stable deposit-version identifier.
retinal_oct_octa_two_subjects_processed,Processed Retinal OCT and OCTA Two-Subject Dataset,kaggle,https://www.kaggle.com/datasets/cnzakimuena/retinal-oct-and-octa-data-3,cnzakimuena/retinal-oct-and-octa-data-3,,,True,official_file_listing_confirmed,50,13970739052,7,processed/subject1/Results/3mmx3mm_20180831130922_OS/ETDRS_grid/3DregionsETDRS.mat,8757569,,,False,repository_file,Official Kaggle client file listing reviewed. The listing endpoint does not expose a stable deposit-version identifier.
